"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Rep.","COG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.8","51.7824592590332","52.7983856201172","53.8263053894043","53.6","56.6633148193359","57.9736137390137","58.9","59.9529037475586","60.7157249450684","61.6556549072266","62.7924919128418","63.903377532959","64.8154144287109","65.5977783203125","",
"Colombia","COL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9","98.7059326171875","98.8057022094727","98.9023056030273","98.9925918579102","99.2","99.1415786743164","99.1939544677734","99.2273712158203","99.2403564453125","99.4","99.91","99.2159118652344","99.209716796875","99.2160568237305","99.3","99.2876663208008","99.3500823974609","99.713281","99.607048","99.771476","99.788503","99.726102","99.820229","99.838367","99.809718","99.8","99.9","99.9","100","",
"Comoros","COM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8","59.0517616271973","60.8158149719238","62.5594367980957","64.2878723144531","66.0080490112305","74.6","69.4513397216797","71.1883087158203","72.9445037841797","74.72119140625","76.5142440795898","78.3192825317383","80.1319427490234","84.9545669555664","84.9956436157227","85.1","87.3781890869141","89.1796798706055","90.9780349731445","92.7740325927734","94.5684585571289","96.3621063232422","98.1556091308594","",
"Cabo Verde","CPV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.27494","83.3910064697266","84.0797576904297","85","85.5161972045898","86.2610244750977","87.0178451538086","87.7822799682617","90.6207038539958","89.9776229858398","90.0784301757813","90.8356323242188","91.5889053344727","92.3390350341797","93.0868072509766","93.8330154418945","94.5784301757813","95.3237228393555","",
"Costa Rica","CRI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8","99.874108","99.863464","99.882549","99.847066","99.894615","99.930421","99.917154","99.924095","99.929925","99.746437","99.964484","99.98337","99.939949","99.704804","99.929925","99.8","99.8","99.9","99.92","",
"Caribbean small states","CSS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8295074366866","94.5913554740314","95.3736221102115","95.3473192922822","95.2561680461611","95.4770270951022","95.3275170560215","95.5396000584596","96.2939900444076","98.5254114503617","96.9933121900978","97.1284275089028","97.6438447711144","97.9838457225234","97.720937750412","97.8152064124542","98.4003635583307","99.2028318019135","99.429196183701","99.5403264614648","99.6171537393751","",
"Cuba","CUB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.7773056030273","99.7240219116211","99.6763381958008","99.6411743164063","99.6252365112305","99.6297988891602","99.6507186889648","99.6836318969727","99.7241592407227","99.7679290771484","99.8105773925781","99.8485870361328","99.8818817138672","99.9096755981445","99.9362945556641","99.9602355957031","99.9802932739258","99.9934921264648","99.9","",
"Curacao","CUW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5024108886719","99.5690002441406","99.6350708007813","99.6979751586914","99.7545623779297","99.8016738891602","99.8361511230469","99.8548278808594","99.8545455932617","99.8338317871094","99.7979354858398","99.753776550293","99.7082824707031","99.6683959960938","99.6410293579102","99.6328887939453","99.6452484130859","99.6739654541016","99.7146682739258","99.7629928588867","100","100","100","100","100","100","100","100","100","100","",
"Cayman Islands","CYM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8430480957031","99.8984603881836","99.9473114013672","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Cyprus","CYP","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czech Republic","CZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Germany","DEU","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5521049499512","54.3137550354004","55.0564498901367","55.7787132263184","56.4857864379883","57.1846008300781","56.9","58.5851707458496","59.3007850646973","60.0356140136719","62.4","61.5626373291016","62.3463172912598","63.1376190185547","63.9321594238281","64.7255783081055","64.242080688","66.2984237670898","67.0785598754883","67.8555526733398","68.6301879882813","69.96","70.7031097412109","71.5613708496094","",
"Dominica","DMA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
