"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belarus","BLR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Belize","BLZ","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7948402460806","52.5183056980487","54.2099504223872","55.8924997801879","57.5685157492391","59.237817457154","60.9026498452213","62.5630782103968","64.2206403979687","65.6970578869808","67.3834318453028","68.8984605211297","70.3906359229838","71.8521123447834","73.2754571370274","85.1273317051458","76.033211976793","77.3974217026905","78.7716577813083","84.0689161956375","87.8571481800067","85.8951767087984","86.0766486657369","86.3190026986691","87.5583253826479","89.3987165047649","91.0113578296444","86.5137729660055","87.8397524063715","",
"Bermuda","BMU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bolivia","BOL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2145822115123","13.3725169498417","23.167928845758","20.2616960389374","32.9567614289426","24.2240372567879","32.6782770853407","28.3738518904785","28.1674163448425","28.013350038226","22.5278003182002","34.9555930093722","40.7139180773329","29.5450074490551","41.5705589808738","46.535069817094","57.002634640795","63.2775827844068","67.6627644107765","66.6475765571627","72.1698835938803","68.5167336178202","70.2928612696959","74.3385013415896","74.8694554137495","74.8204366004686","77.5866710666529","87.8864304137647","",
"Brazil","BRA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9484320241383","68.1410230491832","62.0133014337249","64.3043978721134","69.5260303381059","67.946114285024","71.0417639637788","71.8385840283646","74.6887052208251","76.5073551123924","74.2241458861156","81.8757629639867","84.1179544418392","85.3215354534796","83.4505451004087","84.8305345115422","87.1654186720447","89.7762109860306","91.852255858914","93.6173981814944","97.5246651658721","96.1905874295669","97.2218134711631","97.5020334516603","97.9100770443521","98.2324092437609","98.4671299794553","99.169593168469","98.4109075957178","98.4820886636258","",
"Barbados","BRB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9748569516163","99.9895842514774","99.997928794984","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bhutan","BTN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.79647207885752","19.561502753162","23.8054270453016","18.451235244849","32.5466087005137","43.2263450563052","42.0746666295093","58.8519814831725","52.3154668510649","57.608511960334","59.3978136595991","71.8688926316835","86.8699484778567","80.2596984497118","86.4794688572804","92.7893352362742","99.2741284999179","96.7601556615616","99.9537441500783","100","",
"Botswana","BWA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97363741103963","1.6322980392337","3.25835695727018","4.85342418017861","6.41893134310099","7.95553274362333","9.46555848682613","10.9490920946759","12.406704642078","13.8292921368892","10.442480443616","16.7294085610628","18.2317923438895","19.6734347664343","21.0433394033304","22.3407894112104","22.7317938207501","21.6346902525013","16.2165746073556","25.3360259224643","25.1560429842942","25.1959090748768","26.0328403530866","27.0909720518897","26.451656983213","28.7433176068339","30.9648513122913","28.9598758986733","27.5775052216557","",
"Central African Republic","CAF","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.848310304830849","1.02367879371653","1.17844259614661","1.30637337739231","1.39605160288902","","1.47796255160249","4.73735473373051","1.50619098748996","","","","0.572729814088361","0.994960018143492","1.44926588715037","1.85380063222453","2.11887030643522","2.18747721237758","1.53156199095153","",
"Canada","CAN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Switzerland","CHE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Channel Islands","CHI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Chile","CHL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.458310297133","72.6529187893954","71.4397443359869","74.0618441426621","74.7053747121922","75.4195550331526","74.1794729751692","77.1353797964394","82.9624556298822","79.3576862813837","86.5457694182757","82.0038562630957","83.4218437313581","92.7695089404954","86.4033919516429","87.6200850518497","96.4189851416406","89.541571349643","90.3926605226808","97.7480012564053","99.159747621309","97.7686459499179","100","100","100","100","100","100","100","100","",
"China","CHN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.2136831633355","95.714886377462","96.0736174868027","96.427827573608","96.7704295834656","97.0935765838436","97.3999242884045","97.7056056215021","98.0469825281521","98.4445249216427","99.4091464137797","99.7114985366578","99.9271779155481","99.9936349997779","100","100","100","100","100","100","",
"Cote d'Ivoire","CIV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5857437129987","19.275963754443","20.160078805271","21.0525576857507","21.9540068337895","20.0588223798653","23.7247169014943","24.6038778127128","26.811340890286","26.3208194731757","27.1424711081921","36.1863631167944","34.0842307306721","29.4247957593588","35.5639976964456","30.9037093361786","31.6764326633467","26.280635312055","25.7784772066242","34.2938195865998","34.3130335997572","39.2256909070516","36.7315388000341","38.2530760780967","40.2638786275565","41.8933065008326","",
"Cameroon","CMR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1105153508515","6.91980883714873","7.62056580760999","8.31513645719024","9.00685322398649","9.69598041803811","10.3874733739792","10.1794693504608","11.7755709034738","9.2214536779181","13.8618883439653","13.8155972047773","14.4530941249998","19.4741834213429","15.6071571364348","25.8088567842043","6.42658569535084","17.054651833356","17.5164766591714","15.9573705581202","16.8419198902486","17.7519201861948","19.1717606201751","18.801944612456","21.0491880432562","21.7706223385687","22.5128269044715","26.2765349288","24.0171897482001","",
"Congo, Dem. Rep.","COD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82021763499091","","","","","","","","1","1","1","1","1","",
